sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
tennis,gdino_sam3_quality_gate_mask_only,GDINO + SAM3 + QualityGate,direction_a,mask_only,exploratory,legacy,,,,,0.7657,0.8571,0.8162,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_quality_gate.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/quality_gate/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_quality_gate.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam3_quality_gate_mask_only,QualityGate 想做的是：质量太差时，不要瞎更新。,现有阈值下几乎没带来增益，更像一次未充分触发的尝试。
bmx-trees,gdino_sam3_quality_gate_mask_only,GDINO + SAM3 + QualityGate,direction_a,mask_only,exploratory,legacy,,,,,0.3651,0.3375,0.4534,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_quality_gate.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/quality_gate/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_quality_gate.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam3_quality_gate_mask_only,QualityGate 想做的是：质量太差时，不要瞎更新。,现有阈值下几乎没带来增益，更像一次未充分触发的尝试。
tennis,gdino_sam3_real_vlm_mask_only,GDINO + SAM3 + RealVLM prompt,direction_a,mask_only,exploratory,legacy,,,,,0.7657,0.8571,0.8162,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_real_vlm.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/real_vlm/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_real_vlm.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam3_real_vlm_mask_only,这条路线用真实 VLM caption 来生成 prompt，而不是完全手写规则。,当前已验证能跑通，但已测序列上没有额外数值收益。
bmx-trees,gdino_sam3_real_vlm_mask_only,GDINO + SAM3 + RealVLM prompt,direction_a,mask_only,exploratory,legacy,,,,,0.3651,0.3375,0.4534,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_real_vlm.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/real_vlm/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_real_vlm.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam3_real_vlm_mask_only,这条路线用真实 VLM caption 来生成 prompt，而不是完全手写规则。,当前已验证能跑通，但已测序列上没有额外数值收益。
tennis,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.9468,1.0000,0.5078,,,,,sam3_only,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/tennis,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
bmx-trees,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.7455,0.9375,0.2771,,,,,primary_only,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/bmx-trees,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
blackswan,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.9549,1.0000,0.3312,,,,,union,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/blackswan,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
car-shadow,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.9749,1.0000,0.4524,,,,,primary_only,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/car-shadow,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
horsejump-low,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.8574,1.0000,0.4130,,,,,sam3_only,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/horsejump-low,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
koala,direction_a_mask_fusion_mask_only,Direction A 三路/两路 mask 融合,direction_a,mask_only,stable,legacy,,,,,0.9482,1.0000,0.1967,,,,,sam3_only,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_fusion_results.csv,/data3/jli657/project3/part3/outputs/direction_a/mask_fusion/koala,,,/data3/jli657/project3/part3/mask_fusion.py,,/data3/jli657/project3/part3/part3_deliverables/koala/direction_a_mask_fusion_mask_only,这是把不同 mask 路线按序列或逐帧策略做融合的版本。,这是 Direction A 里很关键的一步，因为它承认不同序列最优路线并不一样。
car-shadow,direction_a_shadow_geom_scale_sweep_mask_only,Direction A car-shadow 阴影几何先验扫参,direction_a,mask_only,failed_or_exploratory,legacy,,,,,0.8231,,,,,,,0.5000,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_a_shadow_ablation.csv,,,,/data3/jli657/project3/part3/extend_shadow_mask.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/direction_a_shadow_geom_scale_sweep_mask_only,这是专门给 car-shadow 做的阴影扩展先验，不是通用方法。,当前扫参结果整体不如已有主线，说明这个先验还没有调到能正向贡献的程度。
tennis,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.7571,1.0000,0.0279,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
bmx-trees,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.4421,0.2500,0.0339,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
blackswan,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.2082,0.0000,0.0225,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
car-shadow,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.7589,1.0000,0.0205,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
horsejump-low,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.6438,1.0000,0.0189,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
koala,vggt4d_vggt_mask_only,VGGT4D 原始动态发现 mask,direction_b,mask_only,exploratory,legacy,,,,,0.2353,0.0000,0.0274,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_vggt4d_results.csv,/data3/jli657/project3/part3/outputs/direction_b/vggt4d_vggt/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_vggt4d.py,,/data3/jli657/project3/part3/part3_deliverables/koala/vggt4d_vggt_mask_only,这是 Direction B 的原始 baseline：不靠文字 prompt，直接从 3D foundation model 的时序动态线索里找运动物体。,它覆盖面有启发，但原始边缘比较粗，单独用还不够强。
tennis,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0001,0.0000,0.0008,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
bmx-trees,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0003,0.0000,0.0007,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
blackswan,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0000,0.0000,0.0001,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
car-shadow,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0001,0.0000,0.0023,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
horsejump-low,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0006,0.0000,0.0006,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
koala,pi3_transplant_v3_mask_only,Pi3 transplant v3 mask,direction_b,mask_only,failed,legacy,,,,,0.0568,0.0000,0.0076,,,,,,失败实验：保留用于解释为什么这条路线暂时不主推。,/home/jli657/my_storage2_1T/project3/eval/direction_b_pi3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/pi3_transplant_v3/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_pi3_transplant.py,,/data3/jli657/project3/part3/part3_deliverables/koala/pi3_transplant_v3_mask_only,这是把 VGGT4D 的思路移植到 Pi3 上的尝试，理论上想用更强 backbone 换更好 mask。,当前结果基本失败，后续更适合作为失败分析或附录，而不是主贡献。
tennis,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
bmx-trees,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
blackswan,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
car-shadow,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
horsejump-low,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
koala,vggt4d_sam3_refine_v2_mask_only,VGGT4D + SAM3 refine v2,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0000,,,,,bbox,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v2_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v2/vggt4d/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/koala/vggt4d_sam3_refine_v2_mask_only,这条路线是把 VGGT4D 粗 mask 当作 SAM3 的空间提示来精修边界。,v2 是早期版本，后面还有 v3/v4/v5，整理时会保留但不作为最终主推。
tennis,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
bmx-trees,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
blackswan,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
car-shadow,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
horsejump-low,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
koala,vggt4d_sam3_refine_v3_mask_only,VGGT4D + SAM3 refine v3,direction_b,mask_only,partial_or_failed,legacy,,,,,0.0000,0.0000,0.0000,,,,,,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v3_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v3/vggt4d/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/koala/vggt4d_sam3_refine_v3_mask_only,这是 refine 的中间版本，部分序列仍有 prompt 失败或不稳定问题。,它是中间版本，应该保留在台账里，但不能当成最终结论。
tennis,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.0000,0.0000,0.0059,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
bmx-trees,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.5396,0.7750,0.1883,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
blackswan,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.9558,1.0000,0.3556,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
car-shadow,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.0013,0.0000,0.0305,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
